timestamp,parameter,value_hrf
2019-02-04 09:25:00,so2,0.2593351282051282
2019-02-04 09:30:00,so2,0.1934656756756757
2019-02-04 09:35:00,so2,0.22787620689655175
2019-02-04 09:40:00,so2,0.1713107692307692
2019-02-04 09:45:00,so2,0.24690875000000007
2019-02-04 09:50:00,so2,0.16067833333333334
2019-02-04 09:55:00,so2,0.1774742857142857
2019-02-04 10:00:00,so2,0.16058923076923073
2019-02-04 10:05:00,so2,0.18075148148148149
2019-02-04 10:10:00,so2,0.26257941176470595
2019-02-04 10:15:00,so2,0.17155314285714285
2019-02-04 10:20:00,so2,0.25151399999999996
2019-02-04 10:25:00,so2,0.18123538461538463
2019-02-04 10:30:00,so2,0.15661
2019-02-04 10:35:00,so2,0.1772116666666666
2019-02-04 10:40:00,so2,0.1470575
2019-02-04 10:45:00,so2,0.20848566666666665
2019-02-04 10:50:00,so2,0.21707437499999996
2019-02-04 10:55:00,so2,0.23834884615384616
2019-02-04 11:00:00,so2,0.18014241379310345
2019-02-04 11:05:00,so2,0.1571748
2019-02-04 11:10:00,so2,0.15440592592592595
2019-02-04 11:15:00,so2,0.17433952380952383
2019-02-04 11:20:00,so2,0.195831
2019-02-04 11:25:00,so2,0.16179608695652173
2019-02-04 11:30:00,so2,0.1923237037037037
2019-02-04 11:35:00,so2,0.24544576923076927
2019-02-04 11:40:00,so2,0.27458882352941183
2019-02-04 11:45:00,so2,0.150759375
2019-02-04 11:50:00,so2,0.11646181818181817
2019-02-04 11:55:00,so2,0.12680874999999997
2019-02-04 12:00:00,so2,0.20084913043478264
2019-02-04 12:05:00,so2,0.21506521739130433
2019-02-04 12:10:00,so2,0.1877496
2019-02-04 12:15:00,so2,0.23150052631578952
2019-02-04 12:20:00,so2,0.2271414285714286
2019-02-04 12:25:00,so2,0.19334624999999994
2019-02-04 12:30:00,so2,0.2402416666666667
2019-02-04 12:35:00,so2,0.16922619047619053
2019-02-04 12:40:00,so2,0.17300055555555555
2019-02-04 12:45:00,so2,0.19604555555555556
2019-02-04 12:50:00,so2,0.1686721052631579
2019-02-04 12:55:00,so2,0.22043444444444446
2019-02-04 13:00:00,so2,0.14939666666666665
2019-02-04 13:05:00,so2,0.18706741935483867
2019-02-04 13:10:00,so2,0.1570295652173913
2019-02-04 13:15:00,so2,0.19734931034482758
2019-02-04 13:20:00,so2,0.17196833333333336
2019-02-04 13:25:00,so2,0.16922037037037033
2019-02-04 13:30:00,so2,0.19685222222222226
2019-02-04 13:35:00,so2,0.1959166666666667
2019-02-04 13:40:00,so2,0.20193500000000006
2019-02-04 13:45:00,so2,0.2627654545454545
2019-02-04 13:50:00,so2,0.20723916666666664
2019-02-04 13:55:00,so2,0.18193
2019-02-04 14:00:00,so2,0.24046185185185193
2019-02-04 14:05:00,so2,0.2428267741935484
2019-02-04 14:10:00,so2,0.15704714285714286
2019-02-04 14:15:00,so2,0.24036275862068962
2019-02-04 14:20:00,so2,0.1638035714285714
2019-02-04 14:25:00,so2,0.2032496875
2019-02-04 14:30:00,so2,0.16003375000000003
2019-02-04 14:35:00,so2,0.15844826086956523
2019-02-04 14:40:00,so2,0.2062804545454546
2019-02-04 14:45:00,so2,0.2807092307692307
2019-02-04 14:50:00,so2,0.1637217391304348
2019-02-04 14:55:00,so2,0.1466421739130435
2019-02-04 15:00:00,so2,0.19851862068965515
2019-02-04 15:05:00,so2,0.1827957142857142
2019-02-04 15:10:00,so2,0.21388749999999998
2019-02-04 15:15:00,so2,0.23974866666666675
2019-02-04 15:20:00,so2,0.20054153846153847
2019-02-04 15:25:00,so2,0.18409200000000003
2019-02-04 15:30:00,so2,0.1476019230769231
2019-02-04 15:35:00,so2,0.24758903225806453
2019-02-04 15:40:00,so2,0.1788525
2019-02-04 15:45:00,so2,0.18646318181818183
2019-02-04 15:50:00,so2,0.19601888888888885
2019-02-04 15:55:00,so2,0.27154
2019-02-04 16:00:00,so2,0.20416833333333337
2019-02-04 16:05:00,so2,0.1922358064516129
2019-02-04 16:10:00,so2,0.1960848387096774
2019-02-04 16:15:00,so2,0.2258159375
2019-02-04 16:20:00,so2,0.17707476190476193
2019-02-04 16:25:00,so2,0.25692066666666663
2019-02-04 16:30:00,so2,0.1865580769230769
2019-02-04 16:35:00,so2,0.153929
2019-02-04 16:40:00,so2,0.21695454545454543
2019-02-04 16:45:00,so2,0.1743047826086956
2019-02-04 16:50:00,so2,1.246936046511628
